id,gender,education_level,marital_status,income_category,card_category,util_band,customer_age,dependent_count,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio,avg_trans_amt,trans_per_month,contact_rate_12m,inactive_3plus_12m,churn
721156758,M,Graduate,Married,$60K - $80K,Blue,very_low,52,3,44,1,2,1,23889.0,603,23286.0,0.792,13360,124,0.968,0.025,107.74193548387096,10.333333333333334,0.0833333333333333,0,0
710227908,F,Graduate,Single,Less than $40K,Blue,low,37,3,36,3,2,3,6077.0,1397,4680.0,0.834,2837,74,0.609,0.23,38.33783783783784,6.166666666666667,0.25,0,0
789016983,F,High School,Married,Less than $40K,Blue,medium,45,3,32,2,5,1,2948.0,968,1980.0,0.946,7834,86,0.509,0.328,91.09302325581396,7.166666666666667,0.0833333333333333,1,0
711675108,F,Graduate,Single,Less than $40K,Blue,medium,43,3,30,3,3,1,4075.0,2189,1886.0,0.695,3956,71,0.732,0.537,55.71830985915493,5.916666666666667,0.0833333333333333,1,0
712706058,F,Graduate,Single,Less than $40K,Blue,very_low,44,5,37,1,2,4,1491.0,0,1491.0,0.551,1970,46,0.484,0.0,42.82608695652174,3.8333333333333335,0.3333333333333333,0,1
717631908,M,Unknown,Married,Less than $40K,Blue,very_low,56,2,44,5,3,1,4390.0,0,4390.0,1.005,8454,69,0.769,0.0,122.52173913043478,5.75,0.0833333333333333,1,1
714207483,M,Graduate,Married,$80K - $120K,Blue,low,47,3,41,6,1,4,11997.0,1424,10573.0,0.749,4125,80,0.86,0.119,51.5625,6.666666666666667,0.3333333333333333,0,0
709573533,M,Uneducated,Married,$40K - $60K,Blue,very_low,48,3,34,5,1,2,11191.0,0,11191.0,0.58,3914,71,0.775,0.0,55.12676056338028,5.916666666666667,0.1666666666666666,0,0
828298908,M,Graduate,Married,$120K +,Blue,high,54,4,50,4,2,0,2872.0,2035,837.0,0.613,1770,47,0.741,0.709,37.659574468085104,3.9166666666666665,0.0,0,0
711777633,M,Graduate,Divorced,$60K - $80K,Blue,very_low,41,3,27,5,2,2,5784.0,0,5784.0,0.851,4173,80,0.86,0.0,52.1625,6.666666666666667,0.1666666666666666,0,0
